Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,127.7,-73.05,90.0,top
C2,100nF,C_0805_2012Metric,113.05,-71.7,90.0,top
C3,100nF,C_0805_2012Metric,152.4,-92.9,90.0,top
C4,100uF,CP_Elec_6.3x7.7,130.8,-78.8,-90.0,top
C5,100uF,CP_Elec_6.3x7.7,110.05,-77.95,-90.0,top
D1,SM4007,D_MELF,127.3,-104.9,0.0,bottom
D10,1N4148,D_SOD-123,145.5,-70.65,180.0,top
D2,SM4007,D_MELF,173.85,-104.5,0.0,bottom
D3,SM4007,D_MELF,192.85,-104.35,0.0,bottom
D4,SM4007,D_MELF,149.0,-105.0,0.0,bottom
D5,1N4148,D_SOD-123,150.4,-68.2,180.0,top
D6,1N4148,D_SOD-123,150.5,-70.6,0.0,top
D7,1N4148,D_SOD-123,155.45,-68.2,0.0,top
D8,1N4148,D_SOD-123,155.4,-70.65,180.0,top
D9,1N4148,D_SOD-123,145.5,-68.2,0.0,top
R1,4.7K,R_0805_2012Metric,156.15,-73.0,0.0,top
R10,2.2k,R_0805_2012Metric,178.9,-69.3,90.0,top
R11,2.2k,R_0805_2012Metric,192.65,-69.2,90.0,top
R12,2.2k,R_0805_2012Metric,186.6,-69.2,90.0,top
R13,2.2k,R_0805_2012Metric,176.8,-69.3,90.0,top
R14,2.2k,R_0805_2012Metric,181.5,-69.3,90.0,top
R15,2.2k,R_0805_2012Metric,190.7,-69.2,90.0,top
R2,4.7K,R_0805_2012Metric,149.8,-72.85,180.0,top
R3,4.7K,R_0805_2012Metric,146.1875,-72.9,0.0,top
R4,4.7K,R_0805_2012Metric,179.25,-92.75,90.0,top
R5,4.7K,R_0805_2012Metric,190.8,-92.75,90.0,top
R6,4.7K,R_0805_2012Metric,184.75,-92.75,90.0,top
R7,4.7K,R_0805_2012Metric,196.55,-92.75,90.0,top
R8,2.2k,R_0805_2012Metric,188.7,-69.2,90.0,top
R9,2.2k,R_0805_2012Metric,183.7,-69.3,90.0,top
U1,MCP23008-xP,SOIC-18W_7.5x11.6mm_P1.27mm,145.14,-88.85,-90.0,top
U2,ULN2003A,SOIC-16_3.9x9.9mm_P1.27mm,121.725,-90.475,-90.0,top
U4,EL817,SMDIP-4_W9.53mm,177.8,-82.0,-90.0,top
U5,EL817,SMDIP-4_W9.53mm,183.48,-82.0,-90.0,top
U6,EL817,SMDIP-4_W9.53mm,189.525,-81.95,-90.0,top
U7,EL817,SMDIP-4_W9.53mm,195.275,-81.95,-90.0,top
