Comment,Designator,Footprint,LCSC,Quantity
4.7K,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
4.7K,R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
4.7K,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
LEG-24,K2,Relay_SPDT_Omron-G5LE-1,,1
ULN2003A,U2,DIP-16_W7.62mm_LongPads,,1
LEG-24,K4,Relay_SPDT_Omron-G5LE-1,,1
4.7K,R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
LEG-24,K1,Relay_SPDT_Omron-G5LE-1,,1
100uF,C4,CP_Radial_D8.0mm_P3.50mm,,1
4.7K,R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
"4x TerminalBlock_Phoenix_MKDS-1,5-8_1x08_P5.00mm + ZD1006",MOD1,ZD1006_narrow,,1
4.7K,R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
4.7K,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
100nF,C2,C_Disc_D5.0mm_W2.5mm_P5.00mm,,1
100uF,C5,CP_Radial_D8.0mm_P3.50mm,,1
100nF,C3,C_Disc_D5.0mm_W2.5mm_P5.00mm,,1
MCP23008-xP,U1,DIP-18_W7.62mm_LongPads,,1
LEG-24,K3,Relay_SPDT_Omron-G5LE-1,,1
LTV-847,U3,DIP-16_W7.62mm,,1
4.7K,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
Conn_01x05_Pin,J2,JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,,1
SolderJumper_3_Open,A1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,,1
SM4007,D1,D_MELF,,1
SolderJumper_3_Open,A0,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,,1
SM4007,D3,D_MELF,,1
SM4007,D4,D_MELF,,1
Conn_01x05_Pin,J1,JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,,1
SolderJumper_3_Open,A2,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,,1
SM4007,D2,D_MELF,,1
